"<TYPE>","<TICKER>","<TAS.SEQ>","<ACTIVITY.DATETIME>","<BID.PRICE>","<BID.SIZE>"
"Q","BZTF21",927,2020-09-03 20:28:42.6873,-1.25,5
"Q","BZTF21",929,2020-09-03 20:28:42.6873,-1.5,5
"Q","BZTF21",931,2020-09-03 20:28:42.6873,-2,78
"Q","BZTF21",933,2020-09-03 20:28:42.7058,-2,75
"Q","BZTF21",935,2020-09-03 20:28:42.7268,-2,80
"Q","BZTF21",937,2020-09-03 20:28:42.7579,-2,80
"Q","BZTF21",939,2020-09-03 20:28:42.7579,-2,80
"Q","BZTF21",941,2020-09-03 20:28:42.8705,-2,80
"Q","BZTF21",943,2020-09-03 20:28:43.0061,-2,83
"Q","BZTF21",945,2020-09-03 20:28:43.1044,-2,82
"Q","BZTF21",947,2020-09-03 20:28:43.1666,-2,85
"Q","BZTF21",949,2020-09-03 20:28:43.1914,-2,82
"Q","BZTF21",951,2020-09-03 20:28:43.1994,-2,85
"Q","BZTF21",953,2020-09-03 20:28:43.3707,-2,88
"Q","BZTF21",955,2020-09-03 20:28:43.3945,-2,87
"Q","BZTF21",957,2020-09-03 20:28:43.427,-2,82
"Q","BZTF21",959,2020-09-03 20:28:43.427,-2,88
"Q","BZTF21",961,2020-09-03 20:28:43.427,-2,82
"Q","BZTF21",963,2020-09-03 20:28:43.5246,-2,87
"Q","BZTF21",965,2020-09-03 20:28:43.5246,-2,85
"Q","BZTF21",967,2020-09-03 20:28:43.5246,-2,84
"Q","BZTF21",969,2020-09-03 20:28:43.6146,-2,82
"Q","BZTF21",971,2020-09-03 20:28:43.6146,-2,80
"Q","BZTF21",973,2020-09-03 20:28:43.6146,-2,79
"Q","BZTF21",975,2020-09-03 20:28:43.6612,-2,82
"Q","BZTF21",977,2020-09-03 20:28:43.6612,-2,81
"Q","BZTF21",979,2020-09-03 20:28:43.6761,-2,84
"Q","BZTF21",981,2020-09-03 20:28:43.6811,-2,81
"Q","BZTF21",983,2020-09-03 20:28:43.7479,-2,79
"Q","BZTF21",985,2020-09-03 20:28:43.7479,-2,68
"Q","BZTF21",987,2020-09-03 20:28:43.7479,-2,70
"Q","BZTF21",989,2020-09-03 20:28:43.7479,-2,73
"Q","BZTF21",991,2020-09-03 20:28:43.8793,-2,70
"Q","BZTF21",993,2020-09-03 20:28:44.0088,-2,73
"Q","BZTF21",995,2020-09-03 20:28:44.0267,-2,70
"Q","BZTF21",997,2020-09-03 20:28:44.049,-2,68
"Q","BZTF21",999,2020-09-03 20:28:44.049,-2,67
"Q","BZTF21",1001,2020-09-03 20:28:44.1846,-2,70
"Q","BZTF21",1003,2020-09-03 20:28:44.3258,-2,69
"Q","BZTF21",1005,2020-09-03 20:28:44.3475,-2,67
"Q","BZTF21",1007,2020-09-03 20:28:44.3737,-2,69
"Q","BZTF21",1009,2020-09-03 20:28:44.6688,-2,67
"Q","BZTF21",1011,2020-09-03 20:28:44.6688,-2,66
"Q","BZTF21",1013,2020-09-03 20:28:45.2717,-2,65
"Q","BZTF21",1015,2020-09-03 20:28:45.3457,-2,57
"Q","BZTF21",1017,2020-09-03 20:28:45.3715,-2,65
"Q","BZTF21",1019,2020-09-03 20:28:45.3715,-2,71
"Q","BZTF21",1021,2020-09-03 20:28:45.3767,-2,73
"Q","BZTF21",1023,2020-09-03 20:28:45.3819,-2,71
"Q","BZTF21",1025,2020-09-03 20:28:45.3819,-2,73
"Q","BZTF21",1027,2020-09-03 20:28:45.3872,-2,71
"Q","BZTF21",1029,2020-09-03 20:28:45.4291,-2,65
"Q","BZTF21",1031,2020-09-03 20:28:45.4291,-2,63
"Q","BZTF21",1033,2020-09-03 20:28:45.4291,-2,57
"Q","BZTF21",1035,2020-09-03 20:28:45.6004,-2,52
"Q","BZTF21",1037,2020-09-03 20:28:45.7737,-1,5
"Q","BZTF21",1039,2020-09-03 20:28:46.7441,-1.25,5
"Q","BZTF21",1041,2020-09-03 20:28:46.7441,-1.5,5
"Q","BZTF21",1043,2020-09-03 20:28:46.7441,-2,66
"Q","BZTF21",1045,2020-09-03 20:28:46.7803,-2,71
"Q","BZTF21",1047,2020-09-03 20:28:46.9698,-2,69
"Q","BZTF21",1049,2020-09-03 20:28:46.9698,-2,68
"Q","BZTF21",1051,2020-09-03 20:28:47.0289,-2,66
"Q","BZTF21",1053,2020-09-03 20:28:47.0469,-2,64
"Q","BZTF21",1055,2020-09-03 20:28:47.0469,-2,63
"Q","BZTF21",1057,2020-09-03 20:28:47.0909,-2,66
"Q","BZTF21",1059,2020-09-03 20:28:47.235,-2,65
"Q","BZTF21",1061,2020-09-03 20:28:47.5279,-2,63
"Q","BZTF21",1063,2020-09-03 20:28:47.5627,-2,68
"Q","BZTF21",1065,2020-09-03 20:28:47.6365,-2,67
"Q","BZTF21",1067,2020-09-03 20:28:47.859,-2,70
"Q","BZTF21",1069,2020-09-03 20:28:47.9276,-2,72
"Q","BZTF21",1071,2020-09-03 20:28:48.0059,-2,70
"Q","BZTF21",1073,2020-09-03 20:28:48.0182,-2,69
"Q","BZTF21",1075,2020-09-03 20:28:48.0484,-2,72
"Q","BZTF21",1077,2020-09-03 20:28:48.1049,-2,26
"Q","BZTF21",1079,2020-09-03 20:28:48.1049,-2,20
"Q","BZTF21",1081,2020-09-03 20:28:48.1049,-2,15
"Q","BZTF21",1083,2020-09-03 20:28:48.1049,-2,14
"Q","BZTF21",1085,2020-09-03 20:28:48.1049,-2,10
"Q","BZTF21",1087,2020-09-03 20:28:48.1049,-2,8
"Q","BZTF21",1089,2020-09-03 20:28:48.1049,-2,5
"Q","BZTF21",1091,2020-09-03 20:28:48.147,-2,5
"Q","BZTF21",1093,2020-09-03 20:28:48.147,-2,5
"Q","BZTF21",1095,2020-09-03 20:28:48.147,-2,5
"Q","BZTF21",1097,2020-09-03 20:28:48.152,-2,5
"Q","BZTF21",1099,2020-09-03 20:28:48.1579,-2,5
"Q","BZTF21",1101,2020-09-03 20:28:48.1579,-2,5
"Q","BZTF21",1103,2020-09-03 20:28:48.1579,-2,5
"Q","BZTF21",1105,2020-09-03 20:28:48.2198,-2,5
"Q","BZTF21",1107,2020-09-03 20:28:51.0667,-2,5
"Q","BZTF21",1109,2020-09-03 20:28:51.0667,-2,5
"Q","BZTF21",1111,2020-09-03 20:28:51.0667,-2,5
"Q","BZTF21",1113,2020-09-03 20:28:51.0718,-2,5
"Q","BZTF21",1115,2020-09-03 20:28:51.078,-2,5
"Q","BZTF21",1117,2020-09-03 20:28:51.0962,-2,5
"Q","BZTF21",1119,2020-09-03 20:28:51.0962,-2,5
"Q","BZTF21",1121,2020-09-03 20:28:51.0962,-2,5
"Q","BZTF21",1123,2020-09-03 20:28:51.1232,-2,5
"Q","BZTF21",1125,2020-09-03 20:28:51.1284,-2,5
"Q","BZTF21",1127,2020-09-03 20:28:51.1459,-2,5
"Q","BZTF21",1129,2020-09-03 20:28:51.3565,-2.25,23
"Q","BZTF21",1131,2020-09-03 20:28:51.3565,-2.25,18
"Q","BZTF21",1133,2020-09-03 20:28:51.3863,-2.25,21
"Q","BZTF21",1135,2020-09-03 20:28:51.446,-2.25,23
"Q","BZTF21",1137,2020-09-03 20:28:51.446,-1,5
"Q","BZTF21",1139,2020-09-03 20:28:51.6431,-1,5
"Q","BZTF21",1141,2020-09-03 20:28:51.6431,-1,5
"Q","BZTF21",1143,2020-09-03 20:28:51.6431,-1,5
"Q","BZTF21",1145,2020-09-03 20:28:51.6431,-1,5
"Q","BZTF21",1147,2020-09-03 20:28:51.722,-1.25,5
"Q","BZTF21",1149,2020-09-03 20:28:51.722,-1.5,5
"Q","BZTF21",1151,2020-09-03 20:28:51.722,-2.25,32
"Q","BZTF21",1153,2020-09-03 20:28:51.722,-2.25,32
"Q","BZTF21",1155,2020-09-03 20:28:51.722,-2,5
"Q","BZTF21",1157,2020-09-03 20:28:52.3222,-2.25,34
"Q","BZTF21",1159,2020-09-03 20:28:52.3366,-2.25,29
"Q","BZTF21",1161,2020-09-03 20:28:52.4037,-1,5
"Q","BZTF21",1163,2020-09-03 20:28:53.5257,-1.25,5
"Q","BZTF21",1165,2020-09-03 20:28:53.5257,-1.5,5
"Q","BZTF21",1167,2020-09-03 20:28:53.5257,-2.25,29
"Q","BZTF21",1169,2020-09-03 20:28:53.5798,-2,5
"Q","BZTF21",1171,2020-09-03 20:28:54.1495,-2.25,58
"Q","BZTF21",1173,2020-09-03 20:28:54.1495,-2.25,53
"Q","BZTF21",1175,2020-09-03 20:28:54.1495,-2.25,57
"Q","BZTF21",1177,2020-09-03 20:28:54.1495,-2.25,64
"Q","BZTF21",1179,2020-09-03 20:28:54.1495,-2.25,62
"Q","BZTF21",1181,2020-09-03 20:28:54.1495,-2.25,58
"Q","BZTF21",1183,2020-09-03 20:28:54.1495,-2.25,57
"Q","BZTF21",1185,2020-09-03 20:28:54.1495,-2.25,52
"Q","BZTF21",1187,2020-09-03 20:28:54.1535,-2.25,53
"Q","BZTF21",1189,2020-09-03 20:28:54.1535,-2.25,52
"Q","BZTF21",1191,2020-09-03 20:28:54.1535,-2.25,44
"Q","BZTF21",1193,2020-09-03 20:28:54.2725,-1,5
"Q","BZTF21",1195,2020-09-03 20:28:54.5546,-1.25,5
"Q","BZTF21",1197,2020-09-03 20:28:54.5546,-1.5,5
"Q","BZTF21",1199,2020-09-03 20:28:54.5546,-2.25,46
"Q","BZTF21",1201,2020-09-03 20:28:54.561,-2,5
"Q","BZTF21",1203,2020-09-03 20:28:55.1607,-2.25,57
"Q","BZTF21",1205,2020-09-03 20:28:55.1607,-2.25,52
"Q","BZTF21",1207,2020-09-03 20:28:55.2635,-1,5
"Q","BZTF21",1209,2020-09-03 20:28:55.6758,-1.25,5
"Q","BZTF21",1211,2020-09-03 20:28:55.6758,-1.5,5
"Q","BZTF21",1213,2020-09-03 20:28:55.6758,-2.25,45
"Q","BZTF21",1215,2020-09-03 20:28:55.7715,-2,5
"Q","BZTF21",1217,2020-09-03 20:28:56.4813,-2.25,53
"Q","BZTF21",1219,2020-09-03 20:28:56.4813,-2.25,48
"Q","BZTF21",1221,2020-09-03 20:28:56.4813,-2.25,51
"Q","BZTF21",1223,2020-09-03 20:28:56.4854,-2.25,48
"Q","BZTF21",1225,2020-09-03 20:28:56.4854,-2.25,46
"Q","BZTF21",1227,2020-09-03 20:28:56.5711,-2.25,48
"Q","BZTF21",1229,2020-09-03 20:28:56.5711,-1,5
"Q","BZTF21",1231,2020-09-03 20:28:56.7973,-1.25,5
"Q","BZTF21",1233,2020-09-03 20:28:56.7973,-1.5,5
"Q","BZTF21",1235,2020-09-03 20:28:56.7973,-2.25,48
"Q","BZTF21",1237,2020-09-03 20:28:56.8016,-2.25,46
"Q","BZTF21",1239,2020-09-03 20:28:56.8016,-2,5
"Q","BZTF21",1241,2020-09-03 20:28:57.3933,-2.25,48
"Q","BZTF21",1243,2020-09-03 20:28:57.3933,-2.25,43
"Q","BZTF21",1245,2020-09-03 20:28:57.5009,-2,5
"Q","BZTF21",1247,2020-09-03 20:28:58.104,-2.25,50
"Q","BZTF21",1249,2020-09-03 20:28:58.104,-2.25,45
"Q","BZTF21",1251,2020-09-03 20:28:58.197,-1,5
"Q","BZTF21",1253,2020-09-03 20:28:59.3657,-1.25,5
"Q","BZTF21",1255,2020-09-03 20:28:59.3657,-1.5,5
"Q","BZTF21",1257,2020-09-03 20:28:59.3657,-2.25,60
"Q","BZTF21",1259,2020-09-03 20:28:59.3657,-2.25,59
"Q","BZTF21",1261,2020-09-03 20:28:59.3657,-2.25,58
"Q","BZTF21",1263,2020-09-03 20:28:59.3657,-2.25,56
"Q","BZTF21",1265,2020-09-03 20:28:59.3657,-2.25,58
"Q","BZTF21",1267,2020-09-03 20:28:59.3764,-2,5
"Q","BZTF21",1269,2020-09-03 20:28:59.9568,-2.25,55
"Q","BZTF21",1271,2020-09-03 20:28:59.9681,-2.25,50
"Q","BZTF21",1273,2020-09-03 20:29:00.0145,-2.25,52
"Q","BZTF21",1275,2020-09-03 20:29:00.0145,-2.25,54
"Q","BZTF21",1277,2020-09-03 20:29:00.0145,-2.25,52
"Q","BZTF21",1279,2020-09-03 20:29:00.0145,-2.25,50
"Q","BZTF21",1281,2020-09-03 20:29:00.0145,-2.25,52
"Q","BZTF21",1283,2020-09-03 20:29:00.0145,-2.25,54
"Q","BZTF21",1285,2020-09-03 20:29:00.0145,-2.25,56
"Q","BZTF21",1287,2020-09-03 20:29:00.0186,-2.25,54
"Q","BZTF21",1289,2020-09-03 20:29:00.0186,-2.25,52
"Q","BZTF21",1291,2020-09-03 20:29:00.0186,-2.25,50
"Q","BZTF21",1293,2020-09-03 20:29:00.0235,-2.25,49
"Q","BZTF21",1295,2020-09-03 20:29:00.0235,-2.25,50
"Q","BZTF21",1297,2020-09-03 20:29:00.0279,-2.25,49
"Q","BZTF21",1299,2020-09-03 20:29:00.0324,-2.25,51
"Q","BZTF21",1301,2020-09-03 20:29:00.0324,-2.25,49
"Q","BZTF21",1303,2020-09-03 20:29:00.0324,-2.25,48
"Q","BZTF21",1305,2020-09-03 20:29:00.0324,-2.25,47
"Q","BZTF21",1307,2020-09-03 20:29:00.0372,-2.25,49
"Q","BZTF21",1309,2020-09-03 20:29:00.0372,-2.25,47
"Q","BZTF21",1311,2020-09-03 20:29:00.0423,-2.25,45
"Q","BZTF21",1313,2020-09-03 20:29:00.0423,-2.25,43
"Q","BZTF21",1315,2020-09-03 20:29:00.0423,-2.25,41
"Q","BZTF21",1317,2020-09-03 20:29:00.0423,-2.25,43
"Q","BZTF21",1319,2020-09-03 20:29:00.0423,-2.25,47
"Q","BZTF21",1321,2020-09-03 20:29:00.0423,-2.25,49
"Q","BZTF21",1323,2020-09-03 20:29:00.0462,-2.25,47
"Q","BZTF21",1325,2020-09-03 20:29:00.0462,-2.25,43
"Q","BZTF21",1327,2020-09-03 20:29:00.0522,-2,5
"Q","BZTF21",1329,2020-09-03 20:29:02.146,-2.25,10
"Q","BZTF21",1331,2020-09-03 20:29:02.146,-2.25,5
"Q","BZTF21",1333,2020-09-03 20:29:02.1635,-2.25,7
"Q","BZTF21",1335,2020-09-03 20:29:02.1635,-2.25,9
